                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.68125,                 0.5661,                 0.9988,                0.77463,                0.70153,                0.77279,                0.62563,                0.76959,                0.97062,                 1.0372,               0.002674,               0.002674,               0.002674
                     76,                0.72044,                0.59915,                  1.018,                0.84458,                0.67019,                0.78999,                0.64361,                0.74968,                0.92995,                 1.0307,               0.002575,               0.002575,               0.002575
                     77,                0.69688,                0.61085,                 1.0169,                0.77017,                0.73708,                0.78839,                0.63579,                 0.7663,                0.94068,                 1.0511,               0.002476,               0.002476,               0.002476
                     78,                0.67507,                0.54847,                0.99675,                0.82045,                 0.6837,                0.79073,                0.63437,                0.76714,                0.92105,                 1.0543,               0.002377,               0.002377,               0.002377
                     79,                0.67496,                0.56349,                 1.0009,                 0.8141,                0.70513,                0.79969,                0.63752,                0.77867,                 0.8929,                 1.0591,               0.002278,               0.002278,               0.002278
                     80,                0.69715,                0.59414,                 1.0241,                0.74267,                0.75466,                0.79095,                0.63399,                0.76848,                 0.8984,                 1.0515,               0.002179,               0.002179,               0.002179
                     81,                0.69291,                0.61598,                  1.024,                0.74115,                 0.7354,                0.75821,                0.60671,                0.75797,                0.97871,                 1.0434,                0.00208,                0.00208,                0.00208
                     82,                0.65582,                0.54455,                0.99587,                0.71532,                0.74326,                0.76042,                0.61792,                0.74355,                0.98257,                 1.0319,               0.001981,               0.001981,               0.001981
                     83,                0.68168,                0.58165,                 1.0123,                0.78336,                0.69536,                0.75785,                0.61753,                0.75013,                0.99521,                 1.0277,               0.001882,               0.001882,               0.001882
                     84,                 0.6451,                0.53113,                0.99735,                0.76186,                0.71598,                0.77143,                0.61844,                 0.7472,                0.95067,                 1.0271,               0.001783,               0.001783,               0.001783
                     85,                0.66217,                0.56762,                0.99517,                0.80491,                0.70064,                0.79399,                0.63785,                0.75209,                0.92789,                 1.0254,               0.001684,               0.001684,               0.001684
                     86,                0.65534,                0.55951,                0.99891,                0.76369,                0.72858,                0.79944,                0.64895,                0.75123,                0.92322,                 1.0228,               0.001585,               0.001585,               0.001585
                     87,                0.63635,                0.52734,                 0.9877,                0.82514,                0.67287,                0.80041,                0.65392,                0.74537,                 0.9312,                 1.0192,               0.001486,               0.001486,               0.001486
                     88,                0.65669,                0.52998,                 1.0029,                  0.856,                0.67073,                 0.7953,                0.64839,                0.73282,                0.90588,                 1.0116,               0.001387,               0.001387,               0.001387
                     89,                0.64261,                0.50981,                0.99146,                0.82622,                0.67658,                0.78937,                0.64315,                 0.7412,                0.93512,                 1.0231,               0.001288,               0.001288,               0.001288
                     90,                0.61452,                0.44878,                0.97138,                0.77446,                0.76045,                0.78355,                0.64431,                0.72472,                0.97005,                 1.0178,               0.001189,               0.001189,               0.001189
                     91,                0.58176,                0.40751,                0.95833,                 0.7512,                0.74451,                0.78702,                0.63574,                0.73007,                0.96987,                 1.0199,                0.00109,                0.00109,                0.00109
                     92,                0.57607,                0.39486,                0.96716,                0.83243,                0.66532,                0.78368,                0.63849,                0.72325,                0.92818,                  1.013,               0.000991,               0.000991,               0.000991
                     93,                0.56597,                0.39879,                0.94244,                0.80753,                0.69147,                 0.7758,                0.63499,                0.74442,                0.91807,                  1.023,               0.000892,               0.000892,               0.000892
                     94,                0.54607,                0.35216,                0.93953,                 0.8052,                0.70545,                 0.7773,                 0.6292,                0.74729,                0.92449,                   1.03,               0.000793,               0.000793,               0.000793
                     95,                  0.541,                0.37296,                0.95462,                0.82481,                0.69711,                0.78593,                0.63757,                0.73684,                0.94159,                 1.0191,               0.000694,               0.000694,               0.000694
                     96,                0.52859,                0.34307,                0.92999,                0.81363,                0.69945,                0.77998,                0.63622,                0.73693,                0.97361,                 1.0154,               0.000595,               0.000595,               0.000595
                     97,                  0.543,                0.34493,                0.93796,                0.74106,                0.72459,                0.76896,                0.62875,                0.73363,                0.97284,                 1.0149,               0.000496,               0.000496,               0.000496
                     98,                0.52741,                0.34201,                0.93286,                0.74349,                0.72429,                0.77449,                0.64132,                0.72327,                0.96974,                 1.0131,               0.000397,               0.000397,               0.000397
                     99,                0.52952,                0.35386,                0.93421,                0.73815,                 0.7237,                0.78148,                0.64241,                  0.717,                0.96822,                 1.0144,               0.000298,               0.000298,               0.000298
